Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố,,
"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,5,46,86.96,Hà Nội,,
"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Không rõ,1,3,37,116.22,Hà Nội,,
"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,40,65,Hà Nội,,
"Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,1,6,51,100,Hà Nội,,
"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Không rõ,1,4,36,86.11,Hà Nội,,
"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,1,11,46,104.35,Hà Nội,,
"Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Không rõ,1,3,52,112.5,Hà Nội,,
"Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Không rõ,1,4,75,120,Hà Nội,,
"Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3,41,64.63,Hà Nội,,
"Thị trấn Văn Điển, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,1,3,35,45.71,Hà Nội,,
"Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,30,83.33,Hà Nội,,
"Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,1,4,52,93.27,Hà Nội,,
"Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Không rõ,1,5,50,86,Hà Nội,,
"Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Không rõ,1,4,52.8,75,Hà Nội,,
"Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,52,93.27,Hà Nội,,
"Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,1,3,30,75,Hà Nội,,
"Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Phúc Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,11,165,103.03,Hà Nội,,
"Phường Gia Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",Đã có sổ,2,3,70,102.86,Hà Nội,,
