Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố
"Thôn 2, Xã Suối Rao, Huyện Châu Đức, Bà Rịa - Vũng Tàu",Huyện Châu Đức,Xã Suối Rao,,Đã có sổ,,,150,2,Bà Rịa - Vũng Tàu
"An dương vương, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Phường Bình Trị Đông,,Đã có sổ,,,4743,79,Tp Hồ Chí Minh
"Đường Quốc Lộ 14B, Xã Đại Hiệp, Huyện Đại Lộc, Quảng Nam",Huyện Đại Lộc,Xã Đại Hiệp,,Đã có sổ,,,95,2,Quảng Nam
"Duong So D, Phường 5, Thành phố Vĩnh Long, Vĩnh Long",,Phường 5,,Đã có sổ,,,109,7,Vĩnh Long
"Đường Cao Thắng, Phường 8, Thành phố Sóc Trăng, Sóc Trăng",,Phường 8,,Đã có sổ,,,239,3,Sóc Trăng
"Đường Tôn Đản, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",Quận Cẩm Lệ,Phường Hòa Thọ Tây,"Nhà ngõ, hẻm",Đã có sổ,2,2,567,31,Đà Nẵng
"Đường Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà mặt phố, mặt tiền",Đã có sổ,,,52,109,Hà Nội
"Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",,Xã Phước Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,,,101,17,Đồng Nai
"An Phú Tây - Hưng Long, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",Huyện Bình Chánh,Xã An Phú Tây,Nhà phố liền kề,Đã có sổ,,2,80,23,Tp Hồ Chí Minh
"Đường Nguyễn Văn Linh, Phường 2, Thành phố Sóc Trăng, Sóc Trăng",,Phường 2,"Nhà ngõ, hẻm",Đã có sổ,,2,95,10,Sóc Trăng
