Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,4,,84,102.3809524,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,,60,125,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,,90,98.88888889,Hưng Yên
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 11,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,54,99.07407407,Hồ Chí Minh
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 8,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,92,75,Hồ Chí Minh
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,,,91,107.6923077,Hưng Yên
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,,64,112.5,Hưng Yên
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",Huyện Thường Tín,,Nhà phố liền kề,Đã có sổ,5,4,74,133.7837838,Hà Nội
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,6,48,118.75,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,,91,104.3956044,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,6,80,125,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,6,70,140,Hưng Yên
